,CV,log CV,RCVQ,log RCVQ,RCVM,log RCVM,Mistake
10.1038:s41586-023-05789-z_zero_fig6,0.026857647467474734,-1.57093203100607,0.014243418488226906,-1.8463857654463576,0.028156389667526767,-1.5504230330523374,zero
10.1038:s41586-023-05789-z_zero_fig7,0.026723104693878546,-1.5731130868742391,0.014891865421133996,-1.8270508971865878,0.020559747793071875,-1.6869822171450983,zero
10.1038:s41586-023-05789-z_zero_fig8,0.16699318727688045,-0.7773012461482819,0.07336541768296034,-1.1345086055967841,0.03490413601379627,-1.457123107667177,zero
10.1038:s41586-023-05789-z_zero_fig9,0.06289824253530497,-1.2013614891792515,0.06235249659935793,-1.2051461526486709,0.059278414624421696,-1.227103419891623,zero
10.1038:s41586-023-05790-6_log_fig1,1.4450839196884537,0.1598930684069932,3.2324700556937596,0.5095345104411557,1.460774447843195,0.16458316349132077,log
10.1038:s41586-023-05793-3_zero_fig1,0.20374798216072923,-0.6909066836471274,0.16678030289734533,-0.777855241756526,0.19356448418221694,-0.7131743254297354,zero
10.1038:s41586-023-05801-6_log_fig1,0.48391671130778185,-0.31522937995081357,0.2566355910714191,-0.5906831143911041,0.5073172364299812,-0.29472038199708117,log
10.1038:s41586-023-05801-6_log_fig2,0.21507219753047943,-0.6674157274065753,0.11405925698887108,-0.9428694618468655,0.22547233921560011,-0.6469067294528429,log
10.1038:s41586-023-05801-6_log_fig3,0.24984191949534584,-0.6023346921502785,0.13249868662486677,-0.8777884265905694,0.2619234037200368,-0.5818256941965462,log
10.1038:s41586-023-05813-2_zero_fig1,0.056418776912905734,-1.2485763330288187,0.03636301424738479,-1.439340123889337,0.056351031972590025,-1.2490981261857987,zero
10.1038:s41586-023-05813-2_zero_fig2,0.017722571291508945,-1.7514732679624359,0.016789185331904984,-1.7749703767888148,0.014471990966667929,-1.8394717172322321,zero
10.1038:s41586-023-05813-2_zero_fig3,0.052777165109478316,-1.2775539413303632,0.027989318505535567,-1.5530076757706546,0.05532928482174279,-1.257044943376631,zero
10.1038:s41586-023-05813-2_zero_fig4,0.052818952832774164,-1.2772102131907364,0.02801147979242026,-1.5526639476310269,0.05537309325365637,-1.256701215237004,zero
10.1038:s41586-023-05813-2_zero_fig5,0.06258779532009934,-1.2035103463725518,0.03319219086776832,-1.478964080812844,0.06561432290740454,-1.18300134841882,zero
10.1038:s41586-023-05824-z_log_fig1,0.6148357624148986,-0.21124087935098068,0.3260659026896817,-0.4866946137912714,0.6445670764369629,-0.1907318813972484,log
10.1038:s41586-023-05824-z_log_fig4,1.503056228203096,0.17697522752075168,354783.7694279919,5.5499637436030556,1.1619983640429468,0.06520551661918199,log
10.1038:s41586-023-05824-z_log_fig5,1.2258767315350703,0.08844680174387465,1.7528606802935132,0.24374739916040988,1.481902335156604,0.1708195823880979,log
10.1038:s41586-023-05824-z_log_fig6,1.070063692171088,0.02940962846577595,3.914533841183743,0.5926800518970492,0.8139579869055235,-0.08939801099038491,log
10.1038:s41586-023-05824-z_log_fig7,1.149617799096987,0.06055347919520478,2.6473263511056686,0.42280748257369716,1.3968213420343027,0.14514086199789303,log
10.1038:s41586-023-05829-8_zero_fig1,0.08597975830923395,-1.0656037800274971,0.04559765260892978,-1.3410575144677879,0.09013743967733247,-1.0450947820737644,zero
10.1038:s41586-023-05851-w_zero_fig1,0.16987419670374326,-0.769872583933954,0.1469770731528088,-0.8327504052502936,0.14122749605026258,-0.8500807408169773,zero
10.1038:s41586-023-05851-w_zero_fig2,0.11024894146828906,-0.9576255716260005,0.05846833059814956,-1.2330793060662903,0.11558019592642194,-0.9371165736722679,zero
10.1038:s41586-023-05851-w_zero_fig3,0.06251261516279522,-1.2040323323719637,0.07722843622447438,-1.1122227589717735,0.07981388596762547,-1.0979215438060956,zero
10.1038:s41586-023-05862-7_log_fig1,2.50130523855941,0.3981666926634158,0.4648673257279192,-0.332670978133434,0.37263442228923643,-0.42871702941892537,log
10.1038:s41586-023-05862-7_log_fig10,2.775435552622621,0.44333114719108996,0.281867208119886,-0.5499554461608809,0.3466544053667092,-0.4601032763124743,log
10.1038:s41586-023-05862-7_log_fig11,0.5750939658299408,-0.24026118921066983,0.5848050016716426,-0.23298892163654078,0.6979618765197593,-0.1561682983929814,log
10.1038:s41586-023-05862-7_log_fig12,0.9453066909563117,-0.0244272681244053,0.9029259275080156,-0.044347876036454285,0.4010028714819869,-0.3968525174937409,log
10.1038:s41586-023-05862-7_log_fig13,0.39882484978702065,-0.39921778970552413,0.0,-inf,0.0,-inf,log
10.1038:s41586-023-05862-7_log_fig14,2.996628160702728,0.4766328564679263,0.5706281632394001,-0.24364679763227873,0.7918578383075389,-0.10135278000181405,log
10.1038:s41586-023-05862-7_log_fig15,1.1105159225200616,0.0455247898210318,0.5872576803144983,-0.23117129469272454,0.19900860175821053,-0.7011281516536589,log
10.1038:s41586-023-05862-7_log_fig16,0.7784765364875248,-0.10875447266240994,0.7944092150151557,-0.09995572673948636,0.3841775006835371,-0.4154680731419704,log
10.1038:s41586-023-05862-7_log_fig17,0.7586184819701476,-0.11997658093210238,0.729018591106198,-0.13726139635708237,0.5416900296312197,-0.2662491579811808,log
10.1038:s41586-023-05862-7_log_fig18,1.5373954940893224,0.18678560387321808,121.63602698818434,2.0850622262921603,1.2371254852297595,0.09241375361362306,log
10.1038:s41586-023-05862-7_log_fig19,1.941183224421115,0.2880665295148629,0.3710742985795062,-0.4305391247987254,0.5105977247777969,-0.2919211247425978,log
10.1038:s41586-023-05862-7_log_fig2,1.7263156468607088,0.23712020688127128,173.59849405343505,2.239545953403146,1.4459340711015634,0.16014849129216002,log
10.1038:s41586-023-05862-7_log_fig20,1.7127402483666045,0.23369150350560602,31.02619171839243,1.491728471775344,1.4358453735330845,0.1571076731673607,log
10.1038:s41586-023-05862-7_log_fig21,2.228223441571197,0.34795873882475237,1.093819238072975,0.03894555746928492,1.1022176407049296,0.042267357514619096,log
10.1038:s41586-023-05862-7_log_fig3,1.6493288976823353,0.2173072682616673,11.52062689544986,1.061476111884678,1.454159034003925,0.16261190570693632,log
10.1038:s41586-023-05862-7_log_fig4,1.3247430841940087,0.12213166096295161,1.8870133226552939,0.27577496637333276,1.4819936721681266,0.17084634929220813,log
10.1038:s41586-023-05862-7_log_fig5,1.5503096197453825,0.19041844185969498,4.91915590202353,0.6918905868032031,1.4704822729334401,0.16745979333571484,log
10.1038:s41586-023-05862-7_log_fig6,1.6507525776781486,0.2176819841037771,11.586250623006483,1.0639429185192906,1.4727713119256551,0.16813531596735387,log
10.1038:s41586-023-05862-7_log_fig7,1.729801456133744,0.23799625835780575,795.1837409955539,2.900467491524944,0.23990087841664803,-0.6199681618245636,log
10.1038:s41586-023-05862-7_log_fig8,0.213392292149808,-0.6708212715903744,0.2576895420437727,-0.5889032063029644,0.22442813243947374,-0.6489227044683029,log
10.1038:s41586-023-05862-7_log_fig9,1.9650596300560825,0.29337573364853653,0.47285565342312774,-0.3252714142077069,0.5374721335502886,-0.2696440478013218,log
10.1038:s41586-023-05872-5_zero_fig1,0.006133646555107835,-2.2122812533924723,0.005422645602552094,-2.2657887779885555,0.007067687151191786,-2.150722682639824,zero
10.1038:s41586-023-05880-5_log_fig1,1.3538772585716274,0.1315792933437294,0.718001842822688,-0.14387444109656114,1.4193460428918896,0.15208829129746185,log
10.1038:s41586-023-05880-5_log_fig2,0.1338937815670961,-0.8732395924712474,0.09872982166605132,-1.0055516474437762,0.16590741439838672,-0.7801342049319182,log
10.1038:s41586-023-05880-5_log_fig3,0.4031048193102148,-0.39458200961841644,0.2165578386993461,-0.6644260915819886,0.22168420246428067,-0.6542652542334568,log
10.1038:s41586-023-05880-5_log_fig4,1.0687294816210418,0.028867789860861304,1.6053675026439713,0.2055744673331376,1.4824816329455286,0.1709893214225944,log
10.1038:s41586-023-05880-5_log_fig5,0.6124073761488281,-0.2129595870765822,0.2772358243355226,-0.5571506510228149,0.1238830840028037,-0.9069879916529301,log
10.1038:s41586-023-05880-5_log_fig6,0.06523675644450579,-1.1855076401098639,0.07000301824358415,-1.1548832345818156,0.0668697017899577,-1.1747706135619451,log
10.1038:s41586-023-05880-5_log_fig7,0.6395972112614678,-0.19409343850991226,0.7607957203853511,-0.11873193904942032,0.7847887570860319,-0.10524722730302102,log
10.1038:s41586-023-05887-y_log_fig1,1.810924693145867,0.25790039066126325,5.643601904913954,0.7515563713833774,1.2262583895494703,0.0885819916602388,log
10.1038:s41586-023-05887-y_log_fig2,1.1510657919037093,0.06110014747352652,1.4941079388852128,0.17438197336218597,1.47639000737821,0.16920109710666653,log
10.1038:s41586-023-05887-y_log_fig3,0.9506045718590486,-0.022000101330570003,0.8970502941795983,-0.04718320704247689,0.6530689405538769,-0.1850409704527159,log
10.1038:s41586-023-05887-y_log_fig4,0.9393938379964839,-0.02715229292102791,0.7029677127246917,-0.15306462164805132,0.9264177163427806,-0.03319314830970949,log
10.1038:s41586-023-05887-y_log_fig5,1.5857889873612958,0.2002453975329934,84.87103196051747,1.9287594828651597,1.2489615204582982,0.09654905830203135,log
10.1038:s41586-023-05927-7_zero_fig1,0.03317301627475735,-1.4792150382204277,0.01759264857021956,-1.754668772660716,0.03477714769360991,-1.4587060402666945,zero
10.1038:s41586-023-05927-7_zero_fig2,0.14525726023796282,-0.8378621515194926,0.07703429529813183,-1.1133158859597836,0.1522813949453471,-0.8173531535657604,zero
10.1038:s41586-023-05927-7_zero_fig3,0.23275224243620132,-0.6331061261447858,0.12343551672225986,-0.9085598605850767,0.2440073294565634,-0.6125971281910535,zero
10.1038:s41586-023-05927-7_zero_fig4,0.14943578199442503,-0.8255453994276782,0.07925029110012942,-1.1009991338679685,0.1566619754467357,-0.805036401473946,zero
10.1038:s41586-023-05945-5_log_fig1,0.3022661807093545,-0.5196104414855689,0.36584567530368445,-0.43670207443637427,0.3483146435749363,-0.4580282668851312,log
10.1038:s41586-023-06003-w_log_fig1,0.4114724013859039,-0.38565928883024364,0.16964364855723837,-0.7704623956603601,0.18815552581628253,-0.7254830226469091,log
10.1038:s41586-023-06003-w_log_fig2,1.5365716022904268,0.1865528026367084,1.886873748973948,0.27574284242340813,0.9886751463963377,-0.0049463831277599965,log
10.1038:s41586-023-06010-x_zero_fig1,0.01957610377662936,-1.70827374137296,0.010381796797249652,-1.9837274758132506,0.020522735908803113,-1.6877647434192278,zero
10.1038:s41586-023-06010-x_zero_fig2,-0.006362099778084426,,-0.0033740129217515796,,-0.006669748743718751,,zero
